State,sat_2017,sat_2018,sat_difference,sat_percent_change,act_2017,act_2018,act_difference,act_percent_change,total_2017,total_2018,sat_share_2017,sat_share_2018
Rhode Island,0.71,0.97,0.26,36.61971830985916,0.21,0.15,-0.06,-28.57142857142857,0.9199999999999999,1.1199999999999999,0.7717391304347826,0.8660714285714286
South Carolina,0.5,0.55,0.050000000000000044,10.000000000000009,1.0,1.0,0.0,0.0,1.5,1.55,0.3333333333333333,0.3548387096774194
South Dakota,0.03,0.03,0.0,0.0,0.8,0.77,-0.030000000000000027,-3.7500000000000036,0.8300000000000001,0.8,0.03614457831325301,0.0375
Tennessee,0.05,0.06,0.009999999999999995,19.99999999999999,1.0,1.0,0.0,0.0,1.05,1.06,0.047619047619047616,0.056603773584905655
Texas,0.62,0.66,0.040000000000000036,6.451612903225811,0.45,0.41000000000000003,-0.03999999999999998,-8.888888888888884,1.07,1.07,0.5794392523364486,0.616822429906542
Utah,0.03,0.04,0.010000000000000002,33.33333333333334,1.0,1.0,0.0,0.0,1.03,1.04,0.029126213592233007,0.038461538461538464
Vermont,0.6,0.64,0.040000000000000036,6.666666666666673,0.29,0.24,-0.04999999999999999,-17.241379310344826,0.8899999999999999,0.88,0.6741573033707866,0.7272727272727273
Virginia,0.65,0.68,0.030000000000000027,4.615384615384619,0.29,0.24,-0.04999999999999999,-17.241379310344826,0.94,0.92,0.6914893617021277,0.7391304347826088
Washington,0.64,0.6900000000000001,0.050000000000000044,7.812500000000007,0.29,0.24,-0.04999999999999999,-17.241379310344826,0.9299999999999999,0.93,0.6881720430107527,0.7419354838709677
West Virginia,0.14,0.28,0.14,100.0,0.6900000000000001,0.65,-0.040000000000000036,-5.797101449275368,0.8300000000000001,0.93,0.1686746987951807,0.3010752688172043
Wisconsin,0.03,0.03,0.0,0.0,1.0,1.0,0.0,0.0,1.03,1.03,0.029126213592233007,0.029126213592233007
Wyoming,0.03,0.03,0.0,0.0,1.0,1.0,0.0,0.0,1.03,1.03,0.029126213592233007,0.029126213592233007
