State,sat_2017,sat_2018,sat_difference,sat_percent_change,act_2017,act_2018,act_difference,act_percent_change,total_2017,total_2018,sat_share_2017,sat_share_2018
Alabama,0.05,0.06,0.009999999999999995,19.99999999999999,1.0,1.0,0.0,0.0,1.05,1.06,0.047619047619047616,0.056603773584905655
Alaska,0.38,0.43,0.04999999999999999,13.157894736842103,0.65,0.33,-0.32,-49.230769230769226,1.03,0.76,0.36893203883495146,0.5657894736842105
Arizona,0.3,0.29,-0.010000000000000009,-3.3333333333333366,0.62,0.66,0.040000000000000036,6.451612903225811,0.9199999999999999,0.95,0.32608695652173914,0.30526315789473685
Arkansas,0.03,0.05,0.020000000000000004,66.66666666666669,1.0,1.0,0.0,0.0,1.03,1.05,0.029126213592233007,0.047619047619047616
California,0.53,0.6,0.06999999999999995,13.20754716981131,0.31,0.27,-0.03999999999999998,-12.903225806451607,0.8400000000000001,0.87,0.6309523809523809,0.689655172413793
Colorado,0.11,1.0,0.89,809.0909090909091,1.0,0.3,-0.7,-70.0,1.11,1.3,0.09909909909909909,0.7692307692307692
Connecticut,1.0,1.0,0.0,0.0,0.31,0.26,-0.04999999999999999,-16.129032258064512,1.31,1.26,0.7633587786259541,0.7936507936507936
Delaware,1.0,1.0,0.0,0.0,0.18,0.17,-0.009999999999999981,-5.555555555555546,1.18,1.17,0.8474576271186441,0.8547008547008548
District of Columbia,1.0,0.92,-0.07999999999999996,-7.9999999999999964,0.32,0.32,0.0,0.0,1.32,1.24,0.7575757575757576,0.7419354838709677
Florida,0.8300000000000001,0.56,-0.27,-32.53012048192771,0.73,0.66,-0.06999999999999995,-9.589041095890405,1.56,1.2200000000000002,0.532051282051282,0.4590163934426229
Georgia,0.61,0.7000000000000001,0.09000000000000008,14.754098360655751,0.55,0.53,-0.020000000000000018,-3.636363636363639,1.1600000000000001,1.23,0.5258620689655171,0.5691056910569107
